"Date","Review"
"May 31, 2015","Only problem is that i cannot find how to upgrade to premium."
"December 5, 2015","Music lovers rejoice!"
"September 27, 2015","Best music app ever every thing free"
"August 5, 2014","Awesome app. Easy to use have not found any band that is isn't available to listen to. Easy to use and love it!!!! :)"
"February 19, 2016","Good"
"August 21, 2014","I love this for so many reasons , u can listen to what ever music u want I just love it I really recommend it <3"
"September 26, 2015","Great selection of music new and old"
"December 31, 2015","I love Spotify."
"July 4, 2015","Spotify I really enjoy after listening to Spotify I changed from Pandora it's good however this is better it has such a greater selection of music, artist,albums and tips of music. When I found music for hula hooping I was impressed. The station is wonderful. You can never listen to all the music at once. It didn't come and ask are you still listening it just pays until you stop it. I recommend it for real music lovers. I love all the gospel, praise, worship and instrumental music. Praize his Holy name. Oh did I mention it didn't have all those commercials as well Yeah."
"January 18, 2016","Works Great"
